artist_id,name
194,the beatles
259,dua lipa
373,alicia keys
392,stevie wonder
475,norah jones
512,lizzo
852,meghan trainor
995,billie eilish
1136,toni braxton
1863,michael w smith
2030,pharrell williams
2187,adele
2266,alessia cara
2420,john legend
2541,evanescence
2700,sam smith
2819,amy winehouse
3114,lil nas x
3416,roberto carlos
3428,duran duran
3604,maggie rogers
3880,daft punk
3922,bobby darin
4046,chance the rapper
4165,the elements
4372,christina aguilera
4561,angels
4919,metallica
4970,alone at last
5179,la roux
5294,bon iver
5495,company
5551,natalie cole
5821,i
5922,mariah carey
5966,forest
6069,carrie underwood
6220,tom jones
6813,cyndi lauper
7136,sheryl crow
7496,journey
7616,skin
7766,java
8299,sade
8313,smooth
8437,q
8487,infinity
9167,her
9296,buena vista social club
9472,enrique iglesias
10154,santiago
10171,lucille
10461,beyonce
10701,chaka khan
10807,daughters
10825,culture club
10950,aries
11294,hero
11438,kid a
11630,dr dre
11743,classic
12349,kiss
12509,wire
12999,dale
13051,escape
13052,tomorrow
13172,ritmo
13407,bette midler
13599,black messiah
14350,toto
14425,sunrise
14474,finneas
14561,quincy jones
14661,mark ronson
14970,face to face
15088,tracy chapman
15179,godspell
15333,survivor
15368,the rose
15409,babyface
15692,dan auerbach
15870,solace
16036,shine
16234,america
16322,rosalia
16839,david bowie
17200,ashanti
17465,boombastic
17809,redhead
18265,southside
19069,circle of life
19338,hello
19382,david foster
20884,paul
21023,made in brazil
21094,timbuktu
21167,something
21402,bittersweet
21838,dystopia
22046,st vincent
22639,my life
24634,christopher cross
24869,jerome
25892,oasis
25927,fun
26062,sheena easton
26741,steve reich
27090,martin
27586,black pumas
27621,uncaged
28149,the legend
28436,john hill
28703,leann rimes
29889,ventura
