award_fact_id,winner_artist_id,winner_track_id,grammy_event_id
221,,5ttuUVXzA30CIt7R59Ep40,4
222,,1utGlAQh8wU3KwibRWIYDN,5
223,,46bFZCQ2U2DMSNUKGzQUyP,5
224,,5djmFvrnR30Tj9Yyj8tOQQ,5
225,,7AvznBJ8YXUMZ8rPTukUAJ,5
226,,4Get5ZiY8kJAWaqkPhSGb1,5
227,,4SgnNO4hJbZDftfpBrH2Rj,5
228,,6GmhqGy1701ajXJY4ob5WF,5
229,,0iM1Ioz4N4p7MU1DKyqsov,5
230,,154lbtHSyyOt0ao2QwbE4n,5
231,,1IWuiJ7X8zaPmK9NiL0lH6,5
232,,1c8h1SBYY44ys4EuaIZJMn,5
233,,2Fxmhks0bxGSBdJ92vM42m,5
234,,2yNKDG4FgwzQuL0JUEOunR,5
235,,4Vzpf1TmxKmczOiTAfheBs,5
236,,5KJaEu2ZMIt9FMvofqUgmg,5
237,,6DBdYfd4EkR6cUPSqtEwhQ,5
238,,6ocbgoVGwYJhOv1GgI9NsF,5
239,,0F7FA14euOIX8KcbEturGH,6
240,,2WKBEpRgLDXonyicWfyzdh,6
241,,4w0JgfCgCTEOmXCWbC1t9j,6
242,,22vgEDb5hykfaTwLuskFGD,6
243,,0v1yN5C75um5Wx2WPtFl6k,6
244,,0HhWAs1xH9is3YW9k4Uivo,6
245,,0TK2YIli7K1leLovkQiNik,6
246,,0mjDJiWmZ548y9EUnogCP1,6
247,,1p91OsZmF238uTCeZxuAi9,6
248,,3I32ecZ4R3gN1lMCv4mUUN,6
249,,3TAhWtQnpoL5Vl9VQPl9fU,6
250,,3UsWDYhiwRueTSHjXIJt3M,6
251,,3uaMzagaQt8mQ952yXUNQj,6
252,,4sXc3d5u0z6N6xt3EW3xPS,6
253,,6v3KW9xbzN5yKLt9YKDYA2,6
254,,73gHGOTyJuwHExzHPh84GN,6
255,,57W08XQ4CGQCq1p6SE9awH,7
256,,1noVFMjvEf8ESzeK3DzJmV,8
257,,3e9HZxeyfWwjeyPAMmWSSQ,8
258,,0XwRlvv3KlOu4HWlOH34XG,8
259,,1dGr1c8CrMLDpV6mPbImSI,8
260,,40u9pTla24PIkyRLKKVh6a,8
261,,4rUQPct3yT97OXelj85R5Q,8
262,,5kBC3lWxOG0393nUcK6lmX,8
263,,6X7pjnNm5dHSUot6hp3KFU,8
264,,4vh6Rn6FVG4w79JmlZ5p7d,9
265,,3rCtueI7qBN2kZBZnXuk5K,9
266,,7yfhESjiagb2x1WEWlgpbb,9
