genre_song_id,track_id,genre_id
13298,0rQ5lP1DQ0sxTlZqfbxYNP,6
13352,0raxNoaM7QY6wEDB6inxIB,22
13500,0sMA4yM4virFpGKst2Pt1N,51
13644,0szEtJSwfsTL2gOO7gKICI,7
13683,0t9il3sTezdVNFtyItCGsX,97
13940,0u5K7xSRTLnBkeERwTypzN,119
13941,0u5K7xSRTLnBkeERwTypzN,94
13942,0u5K7xSRTLnBkeERwTypzN,108
14109,0umeqMZWcRshOw5w2E73h8,64
14183,0v1yN5C75um5Wx2WPtFl6k,52
14592,0wOx3pICvsNIwobd0XnUxb,81
14727,0wqD6227o06O16rbekHAYZ,64
14831,0xDVPc5W2jYqO6p9NisCI4,53
14877,0xSqHQ5wv80hNkpU50vPc7,31
14878,0xSqHQ5wv80hNkpU50vPc7,33
14971,0xu4nHvp3S4wVFc685Z9EY,40
15172,0yjxW8s0Uuk9uKi0Nh9B7T,51
15175,0yktt2FVBf1uPKzORvlXiv,57
15176,0yktt2FVBf1uPKzORvlXiv,58
15256,0z1b34WikhOH9ZxU8QDWcv,45
15456,0zolxiS5uiL5towOJrsJi4,90
15457,0zolxiS5uiL5towOJrsJi4,91
15476,0zsKpQrofq6ADUJCcB8ixb,20
15477,0zsKpQrofq6ADUJCcB8ixb,21
15496,0zwqkO1MdFPigFIESwdJ5s,6
15511,100lHmeZbp3OvinYgotmVc,45
15595,10LCC2yUHBXPoGLRoOi0w8,119
15596,10LCC2yUHBXPoGLRoOi0w8,94
15597,10LCC2yUHBXPoGLRoOi0w8,108
15598,10LCC2yUHBXPoGLRoOi0w8,51
15608,10Nmj3JCNoMeBQ87uw5j8k,15
15609,10Nmj3JCNoMeBQ87uw5j8k,16
15610,10Nmj3JCNoMeBQ87uw5j8k,41
15611,10Nmj3JCNoMeBQ87uw5j8k,42
15617,10P1Cy36hugYDFTZPCE9Bk,83
15618,10P1Cy36hugYDFTZPCE9Bk,119
15842,11EX5yhxr9Ihl3IN1asrfK,89
15856,11J3Oz5eKrwTjc5R8B3KL6,99
16009,11qh54D0PKkBwelpDxxiEU,89
16299,131bKC60MeH9TZhgpo8S7Y,46
16648,14KYk4234ad6eQ2MhVzyla,121
16719,14bpv8bbNlQgyZjNKMbHfb,90
16720,14bpv8bbNlQgyZjNKMbHfb,91
16827,154lbtHSyyOt0ao2QwbE4n,94
16828,154lbtHSyyOt0ao2QwbE4n,120
16996,15licm1kGcle1EmWWuLRHI,116
17564,17xAiso6mNWpcNQ82JOsAa,36
17650,18GiV1BaXzPVYpp9rmOg0E,89
17651,18GiV1BaXzPVYpp9rmOg0E,92
17652,18GiV1BaXzPVYpp9rmOg0E,57
17653,18GiV1BaXzPVYpp9rmOg0E,58
17727,18WI5LEikfhXo606KbapYf,6
17728,18WI5LEikfhXo606KbapYf,19
17773,18gCfEcwX5MZrSHmzxQQtc,81
17788,18k8IlS52uxRWObykDUZFG,52
17809,18q0I5Mz5TbxMf4cWSKql9,89
17986,19Y2yyOQZ5g3LpNqYnJ3wq,38
18330,1AtwsVXr1zaZf4YgIEOlDK,26
18336,1Auq9Y77qiEMohVa8mVBAm,57
18337,1Auq9Y77qiEMohVa8mVBAm,58
18362,1B1QyU5S0rIrokfaV9Zq4a,3
18380,1B5Tp2Ml9nLlmTSJx8xVfI,107
18381,1B5Tp2Ml9nLlmTSJx8xVfI,96
18421,1BH3rSiixIJhXe3viUeMAN,15
18790,1Cq23W4ZxHTY8QbP40qjEc,81
18890,1DFD5Fotzgn6yYXkYsKiGs,119
18891,1DFD5Fotzgn6yYXkYsKiGs,94
18892,1DFD5Fotzgn6yYXkYsKiGs,108
19202,1ERshJBUZysordGDZr5B3t,95
19203,1ERshJBUZysordGDZr5B3t,47
19405,1FF6TogE9ELY71XnLPoEv6,52
19406,1FF6TogE9ELY71XnLPoEv6,102
19531,1FnV600VjinGnFtUBvmGGw,65
19599,1G391cbiT3v3Cywg8T7DM1,15
19600,1G391cbiT3v3Cywg8T7DM1,16
19601,1G391cbiT3v3Cywg8T7DM1,41
19602,1G391cbiT3v3Cywg8T7DM1,42
20003,1HXy5I3HTWq8OvxCn0z7G7,89
20222,1INWPr855fwWdAOeecbu0W,106
20223,1INWPr855fwWdAOeecbu0W,107
20224,1INWPr855fwWdAOeecbu0W,96
20252,1IWuiJ7X8zaPmK9NiL0lH6,36
20271,1IbNYr8ByXsgwGbmOxLBXP,3
20272,1IbNYr8ByXsgwGbmOxLBXP,116
20392,1J6bub4kiTe4h0RCo9IszE,92
20487,1JSTJqkT5qHq8MDJnJbRE1,17
20692,1KFlRPAPtXublWQx91REdI,104
20693,1KFlRPAPtXublWQx91REdI,105
20900,1L5tZi0izXsi5Kk5OJf4W0,99
20970,1LJt4Lh6SXMoe7XKTHUJ7o,89
21013,1LWueNjZGJrO3BFgcPZEqU,57
21014,1LWueNjZGJrO3BFgcPZEqU,58
21201,1MNnfeAXbz0TO7wt61mKIX,83
21327,1MrcbZai6wumuSm6JJ6BUA,65
21404,1NByMwpOZY69Mmy4l7jYRF,52
21476,1NaHqvYJ48wdyQZMkNnUUr,15
21477,1NaHqvYJ48wdyQZMkNnUUr,16
21478,1NaHqvYJ48wdyQZMkNnUUr,105
21479,1NaHqvYJ48wdyQZMkNnUUr,27
21480,1NaHqvYJ48wdyQZMkNnUUr,42
22047,1PpdWBJtZLDqDncfPOJH3p,7
22048,1PpdWBJtZLDqDncfPOJH3p,71
22058,1PrWkkvjNZUftGptbVeCTF,119
22059,1PrWkkvjNZUftGptbVeCTF,1
22060,1PrWkkvjNZUftGptbVeCTF,108
22133,1Q67GzAimjd3OLMJJOTy9H,51
22869,1T4U8Q2DRfs6OUg8DEsRZf,51
22870,1T575AhHueYinKSDflEsGK,83
22871,1T575AhHueYinKSDflEsGK,94
22997,1TdHueeRrDSNQd7xiK7UUC,44
22998,1TdHueeRrDSNQd7xiK7UUC,82
23308,1Umw3vhysHBodpBFpFsVgK,100
23309,1Umw3vhysHBodpBFpFsVgK,101
23393,1V8aPypxFrIk5TSa8E3qM0,54
24008,1XcsQzSojUtZhHxHY730ug,95
24170,1YF2iUHdWnbO3MWI7z5aQf,12
24171,1YF2iUHdWnbO3MWI7z5aQf,13
24301,1Yk0cQdMLx5RzzFTYwmuld,99
24302,1Yk0cQdMLx5RzzFTYwmuld,7
24317,1YnLthg0HOs8YTzgN5hVh2,52
24332,1YrZuuVG0vZWvsahkSx5WC,99
24935,1bLXL3MPkzfdrK6NC0u0N3,37
25112,1c8h1SBYY44ys4EuaIZJMn,94
25113,1c8h1SBYY44ys4EuaIZJMn,120
25238,1chnlLONX1BubwxEnL0fln,57
25239,1chnlLONX1BubwxEnL0fln,58
25368,1dGr1c8CrMLDpV6mPbImSI,120
25669,1eV81a6H4xDdpi8r2C4tQT,1
25670,1eV81a6H4xDdpi8r2C4tQT,3
25671,1eV81a6H4xDdpi8r2C4tQT,116
25744,1emx944EiuTphS9qv5mslc,52
25941,1fTAs4YpBA7R21i0iB4j54,1
25952,1fXMOBiZsYyMHUzWFrAkFn,121
26044,1fqGZ9iSWj05tlwFQhN9X0,12
26045,1fqGZ9iSWj05tlwFQhN9X0,13
26588,1i1fxkWeaMmKEB4T7zqbzK,83
26589,1i1fxkWeaMmKEB4T7zqbzK,119
26590,1i1fxkWeaMmKEB4T7zqbzK,94
26591,1i1fxkWeaMmKEB4T7zqbzK,108
26822,1j8z4TTjJ1YOdoFEDwJTQa,18
26823,1j8z4TTjJ1YOdoFEDwJTQa,63
26933,1jfW9Ro29uuPlAUfnOqTVw,12
