nominee_id,name,winner,grammy_event_id
271,recorded live at the 2019 new orleans jazz heritage festival,1,52
272,hawaiian lullaby,1,52
273,rapture,1,53
274,as i am,1,53
275,the final battle sly robbie vs roots radics,1,53
276,mass manipulation,1,53
277,more work to be done,1,53
278,celia,1,54
279,gece,1,54
280,what heat,1,54
281,african giant,1,54
282,fanm d'ayiti,1,54
283,ageless songs for the child archetype,1,55
284,flying high,1,55
285,i love rainy days,1,55
286,the love,1,55
287,winterland,1,55
288,becoming,1,56
289,beastie boys book,1,56
290,iv catatonia 20 years as a two-time cancer survivor,1,56
291,mr know-it-all,1,56
292,sekou andrews the string theory,1,56
293,sticks stones,1,57
294,quality time,1,57
295,relatable,1,57
296,right now,1,57
297,son of patricia,1,57
298,hadestown,1,58
299,ain't too proud the life and times of the temptations,1,58
300,moulin rouge the musical,1,58
301,the music of harry potter and the cursed child - in four contemporary suites,1,58
302,oklahoma,1,58
303,a star is born,1,59
304,the lion king the songs,1,59
305,quentin tarantino's once upon a time in hollywood,1,59
306,rocketman,1,59
307,spider-man into the spider-verse,1,59
308,chernobyl,1,60
309,avengers endgame,1,60
310,game of thrones season 8,1,60
311,the lion king,1,60
312,mary poppins returns,1,60
313,i'll never love again film version,1,61
314,the ballad of the lonesome cowboy,1,61
315,girl in the movies,1,61
316,spirit,1,61
317,suspirium,1,61
318,star wars galaxy's edge symphonic suite,1,62
319,begin again,1,62
320,crucible for crisis,1,62
321,love a beautiful force,1,62
322,walkin' funny,1,62
323,moon river,1,63
324,blue skies,1,63
325,hedwig's theme,1,63
326,la novena,1,63
327,love a beautiful force,1,63
328,all night long,1,64
329,jolene,1,64
330,marry me a little,1,64
331,over the rainbow,1,64
332,12 little spells thoracic spine,1,64
333,chris cornell,1,65
334,anonimas resilientes,1,65
335,hold that tiger,1,65
336,ii,1,65
337,intellexual,1,65
338,woodstock back to the garden - the definitive 50th anniversary archive,1,66
339,anima,1,66
340,gold in a brass age,1,66
341,1963 new directions,1,66
342,the radio recordings 1939-1945,1,66
343,stax '68 a memphis story,1,67
344,the complete cuban jam sessions,1,67
345,the gospel according to malaco,1,67
346,pedal steal four corners,1,67
347,pete seeger the smithsonian folkways collection,1,67
348,pete seeger the smithsonian folkways collection,1,68
349,the girl from chickasaw county - the complete capitol masters,1,68
350,the great comeback horowitz at carnegie hall,1,68
