grammy_event_id,year,title,category,published_at,updated_at
1,2019,62nd annual grammy awards 2019,record of the year,2020-05-19 05:10:28,2020-05-19 05:10:28
3,2019,62nd annual grammy awards 2019,song of the year,2020-05-19 05:10:28,2020-05-19 05:10:28
4,2019,62nd annual grammy awards 2019,best new artist,2020-05-19 05:10:28,2020-05-19 05:10:28
9,2019,62nd annual grammy awards 2019,best dance recording,2020-05-19 05:10:28,2020-05-19 05:10:28
10,2019,62nd annual grammy awards 2019,best danceelectronic album,2020-05-19 05:10:28,2020-05-19 05:10:28
18,2019,62nd annual grammy awards 2019,best traditional rb performance,2020-05-19 05:10:28,2020-05-19 05:10:28
19,2019,62nd annual grammy awards 2019,best rb song,2020-05-19 05:10:28,2020-05-19 05:10:28
21,2019,62nd annual grammy awards 2019,best rb album,2020-05-19 05:10:28,2020-05-19 05:10:28
24,2019,62nd annual grammy awards 2019,best rap song,2020-05-19 05:10:28,2020-05-19 05:10:28
27,2019,62nd annual grammy awards 2019,best country duogroup performance,2020-05-19 05:10:28,2020-05-19 05:10:28
28,2019,62nd annual grammy awards 2019,best country song,2020-05-19 05:10:28,2020-05-19 05:10:28
36,2019,62nd annual grammy awards 2019,best gospel performancesong,2020-05-19 05:10:28,2020-05-19 05:10:28
37,2019,62nd annual grammy awards 2019,best contemporary christian music performancesong,2020-05-19 05:10:28,2020-05-19 05:10:28
39,2019,62nd annual grammy awards 2019,best contemporary christian music album,2020-05-19 05:10:28,2020-05-19 05:10:28
42,2019,62nd annual grammy awards 2019,best latin rock urban or alternative album,2020-05-19 05:10:28,2020-05-19 05:10:28
46,2019,62nd annual grammy awards 2019,best american roots song,2020-05-19 05:10:28,2020-05-19 05:10:28
59,2019,62nd annual grammy awards 2019,best compilation soundtrack for visual media,2020-05-19 05:10:28,2020-05-19 05:10:28
61,2019,62nd annual grammy awards 2019,best song written for visual media,2020-05-19 05:10:28,2020-05-19 05:10:28
65,2019,62nd annual grammy awards 2019,best recording package,2020-05-19 05:10:28,2020-05-19 05:10:28
70,2019,62nd annual grammy awards 2019,producer of the year non-classical,2020-05-19 05:10:28,2020-05-19 05:10:28
88,2018,61st annual grammy awards 2018,best new artist,2018-12-06 23:48:49,2019-09-10 01:06:11
93,2018,61st annual grammy awards 2018,best dance recording,2018-12-06 23:48:49,2019-09-10 01:06:11
105,2018,61st annual grammy awards 2018,best rb album,2018-12-06 23:48:49,2019-09-10 01:06:11
108,2018,61st annual grammy awards 2018,best rap song,2018-12-06 23:48:49,2019-09-10 01:06:11
120,2018,61st annual grammy awards 2018,best gospel performancesong,2018-12-06 23:48:49,2019-09-10 01:06:11
121,2018,61st annual grammy awards 2018,best contemporary christian music performancesong,2018-12-06 23:48:49,2019-09-10 01:06:11
130,2018,61st annual grammy awards 2018,best american roots song,2018-12-06 23:48:49,2019-09-10 01:06:11
145,2018,61st annual grammy awards 2018,best song written for visual media,2018-12-06 23:48:49,2019-09-10 01:06:11
154,2018,61st annual grammy awards 2018,producer of the year non-classical,2018-12-06 23:48:49,2019-09-10 01:06:11
169,2017,60th annual grammy awards 2017,record of the year,2018-05-22 03:08:24,2019-09-10 01:06:11
171,2017,60th annual grammy awards 2017,song of the year,2018-05-22 03:08:24,2019-09-10 01:06:11
172,2017,60th annual grammy awards 2017,best new artist,2018-05-22 03:08:24,2019-09-10 01:06:11
182,2017,60th annual grammy awards 2017,best rock song,2018-05-22 03:08:24,2019-09-10 01:06:11
187,2017,60th annual grammy awards 2017,best rb song,2018-05-22 03:08:24,2019-09-10 01:06:11
192,2017,60th annual grammy awards 2017,best rap song,2018-05-22 03:08:24,2019-09-10 01:06:11
196,2017,60th annual grammy awards 2017,best country song,2018-05-22 03:08:24,2019-09-10 01:06:11
205,2017,60th annual grammy awards 2017,best contemporary christian music performancesong,2018-05-22 03:08:24,2019-09-10 01:06:11
227,2017,60th annual grammy awards 2017,best compilation soundtrack for visual media,2018-05-22 03:08:24,2019-09-10 01:06:11
228,2017,60th annual grammy awards 2017,best score soundtrack for visual media,2018-05-22 03:08:24,2019-09-10 01:06:11
229,2017,60th annual grammy awards 2017,best song written for visual media,2018-05-22 03:08:24,2019-09-10 01:06:11
253,2016,59th annual grammy awards 2016,record of the year,2017-11-28 00:03:45,2019-09-10 01:06:11
255,2016,59th annual grammy awards 2016,song of the year,2017-11-28 00:03:45,2019-09-10 01:06:11
256,2016,59th annual grammy awards 2016,best new artist,2017-11-28 00:03:45,2019-09-10 01:06:11
257,2016,59th annual grammy awards 2016,best pop solo performance,2017-11-28 00:03:45,2019-09-10 01:06:11
261,2016,59th annual grammy awards 2016,best dance recording,2017-11-28 00:03:45,2019-09-10 01:06:11
262,2016,59th annual grammy awards 2016,best danceelectronic album,2017-11-28 00:03:45,2019-09-10 01:06:11
265,2016,59th annual grammy awards 2016,best metal performance,2017-11-28 00:03:45,2019-09-10 01:06:11
330,2016,59th annual grammy awards 2016,best chamber musicsmall ensemble performance,2017-11-28 00:03:45,2019-09-10 01:06:11
337,2015,58th annual grammy awards 2015,record of the year,2017-11-28 00:03:45,2019-09-10 01:09:02
339,2015,58th annual grammy awards 2015,song of the year,2017-11-28 00:03:45,2019-09-10 01:09:02
340,2015,58th annual grammy awards 2015,best new artist,2017-11-28 00:03:45,2019-09-10 01:09:02
357,2015,58th annual grammy awards 2015,best rb album,2017-11-28 00:03:45,2019-09-10 01:09:02
360,2015,58th annual grammy awards 2015,best rap song,2017-11-28 00:03:45,2019-09-10 01:09:02
364,2015,58th annual grammy awards 2015,best country song,2017-11-28 00:03:45,2019-09-10 01:09:02
371,2015,58th annual grammy awards 2015,best latin jazz album,2017-11-28 00:03:45,2019-09-10 01:09:02
373,2015,58th annual grammy awards 2015,best contemporary christian music performancesong,2017-11-28 00:03:45,2019-09-10 01:09:02
378,2015,58th annual grammy awards 2015,best latin rock urban or alternative album,2017-11-28 00:03:45,2019-09-10 01:09:02
390,2015,58th annual grammy awards 2015,best children's album,2017-11-28 00:03:45,2019-09-10 01:09:02
396,2015,58th annual grammy awards 2015,best song written for visual media,2017-11-28 00:03:45,2019-09-10 01:09:02
423,2014,57th annual grammy awards 2014,best new artist,2017-11-28 00:03:45,2020-09-01 12:16:40
433,2014,57th annual grammy awards 2014,best rock song,2017-11-28 00:03:45,2020-09-01 12:16:40
435,2014,57th annual grammy awards 2014,best alternative music album,2017-11-28 00:03:45,2020-09-01 12:16:40
441,2014,57th annual grammy awards 2014,best rap performance,2017-11-28 00:03:45,2020-09-01 12:16:40
443,2014,57th annual grammy awards 2014,best rap song,2017-11-28 00:03:45,2020-09-01 12:16:40
477,2014,57th annual grammy awards 2014,best compilation soundtrack for visual media,2017-11-28 00:03:45,2020-09-01 12:16:40
479,2014,57th annual grammy awards 2014,best song written for visual media,2017-11-28 00:03:45,2020-09-01 12:16:40
481,2014,57th annual grammy awards 2014,best arrangement instrumental or a cappella,2017-11-28 00:03:45,2020-09-01 12:16:40
490,2014,57th annual grammy awards 2014,best surround sound album,2017-11-28 00:03:45,2020-09-01 12:16:40
505,2013,56th annual grammy awards 2013,song of the year,2017-11-28 00:03:45,2019-09-10 01:06:59
511,2013,56th annual grammy awards 2013,best dance recording,2017-11-28 00:03:45,2019-09-10 01:06:59
519,2013,56th annual grammy awards 2013,best rb performance,2017-11-28 00:03:45,2019-09-10 01:06:59
560,2013,56th annual grammy awards 2013,best score soundtrack for visual media,2017-11-28 00:03:45,2019-09-10 01:06:59
561,2013,56th annual grammy awards 2013,best song written for visual media,2017-11-28 00:03:45,2019-09-10 01:06:59
570,2013,56th annual grammy awards 2013,producer of the year non-classical,2017-11-28 00:03:45,2019-09-10 01:06:59
585,2012,55th annual grammy awards 2012,record of the year,2017-11-28 00:03:45,2019-09-10 01:06:11
587,2012,55th annual grammy awards 2012,song of the year,2017-11-28 00:03:45,2019-09-10 01:06:11
588,2012,55th annual grammy awards 2012,best new artist,2017-11-28 00:03:45,2019-09-10 01:06:11
598,2012,55th annual grammy awards 2012,best rock song,2017-11-28 00:03:45,2019-09-10 01:06:11
613,2012,55th annual grammy awards 2012,best country album,2017-11-28 00:03:45,2019-09-10 01:06:11
619,2012,55th annual grammy awards 2012,best latin jazz album,2017-11-28 00:03:45,2019-09-10 01:06:11
622,2012,55th annual grammy awards 2012,best contemporary christian music song,2017-11-28 00:03:45,2019-09-10 01:06:11
